(357.24, 359.48, 33.27)
(357.32, 359.50, 33.33)
(357.40, 359.51, 33.39)
(357.49, 359.52, 33.45)
(357.57, 359.54, 33.50)
(357.65, 359.55, 33.56)
(357.74, 359.56, 33.61)
(357.82, 359.58, 33.65)
(357.91, 359.59, 33.70)
(358.00, 359.60, 33.74)
(358.08, 359.61, 33.78)
(358.17, 359.63, 33.82)
(358.26, 359.64, 33.85)
(358.35, 359.65, 33.88)
(358.43, 359.66, 33.91)
(358.52, 359.67, 33.94)
(358.61, 359.68, 33.97)
(358.70, 359.69, 33.99)
(358.79, 359.70, 34.01)
(358.87, 359.71, 34.03)
(358.96, 359.72, 34.04)
(359.05, 359.73, 34.06)
(359.14, 359.74, 34.07)
(359.22, 359.75, 34.08)
(359.31, 359.75, 34.08)
(359.39, 359.76, 34.08)
(359.48, 359.77, 34.09)
(359.56, 359.77, 34.09)
(359.65, 359.78, 34.08)
(359.73, 359.78, 34.08)
(359.81, 359.79, 34.07)
(359.89, 359.79, 34.06)
(359.97, 359.79, 34.05)
(0.05, 359.80, 34.03)
(0.13, 359.80, 34.02)
(0.21, 359.80, 34.00)
(0.29, 359.80, 33.98)
(0.36, 359.80, 33.95)
(0.43, 359.80, 33.93)
(0.51, 359.80, 33.90)
(0.58, 359.80, 33.87)
(0.65, 359.80, 33.84)
(0.72, 359.79, 33.81)
(0.78, 359.79, 33.77)
(0.85, 359.79, 33.73)
(0.91, 359.78, 33.69)
(0.98, 359.78, 33.65)
(1.04, 359.77, 33.61)
(1.10, 359.76, 33.56)
(1.15, 359.76, 33.52)
(1.21, 359.75, 33.47)
(1.26, 359.74, 33.42)
(1.32, 359.73, 33.36)
(1.37, 359.72, 33.31)
(1.42, 359.71, 33.25)
(1.46, 359.70, 33.19)
(1.51, 359.69, 33.13)
(1.55, 359.68, 33.07)
(1.59, 359.67, 33.01)
(1.63, 359.66, 32.94)
(1.67, 359.65, 32.88)
(1.71, 359.63, 32.81)
(1.74, 359.62, 32.74)
(1.78, 359.60, 32.67)
(1.81, 359.59, 32.59)
(1.83, 359.58, 32.52)
(1.86, 359.56, 32.44)
(1.88, 359.54, 32.37)
(1.91, 359.53, 32.29)
(1.93, 359.51, 32.21)
(1.95, 359.49, 32.12)
(1.96, 359.48, 32.04)
(1.98, 359.46, 31.96)
(1.99, 359.44, 31.87)
(2.00, 359.42, 31.78)
(2.01, 359.41, 31.69)
(2.02, 359.39, 31.60)
(2.02, 359.37, 31.51)
(2.03, 359.35, 31.42)
(2.03, 359.33, 31.33)
(2.03, 359.31, 31.23)
(2.03, 359.29, 31.14)
(2.02, 359.27, 31.04)
(2.02, 359.25, 30.94)
(2.01, 359.23, 30.84)
(2.00, 359.21, 30.74)
(1.99, 359.19, 30.64)
(1.97, 359.17, 30.54)
(1.96, 359.16, 30.44)
(1.94, 359.14, 30.33)
(1.93, 359.12, 30.23)
(1.91, 359.10, 30.12)
(1.89, 359.08, 30.02)
(1.86, 359.06, 29.91)
(1.84, 359.04, 29.80)
(1.82, 359.02, 29.69)
(1.79, 359.00, 29.58)
(1.76, 358.98, 29.47)
(1.73, 358.96, 29.36)
(1.70, 358.94, 29.25)
(1.67, 358.92, 29.14)
(1.64, 358.90, 29.02)
(1.60, 358.89, 28.91)
(1.57, 358.87, 28.80)
(1.53, 358.85, 28.68)
(1.49, 358.83, 28.57)
(1.46, 358.82, 28.45)
(1.42, 358.80, 28.33)
(1.38, 358.78, 28.22)
(1.34, 358.77, 28.10)
(1.29, 358.75, 27.98)
(1.25, 358.73, 27.86)
(1.21, 358.72, 27.75)
(1.16, 358.70, 27.63)
(1.12, 358.69, 27.51)
(1.07, 358.67, 27.39)
(1.03, 358.66, 27.27)
(0.98, 358.65, 27.15)
(0.94, 358.63, 27.03)
(0.89, 358.62, 26.91)
(0.84, 358.61, 26.79)
(0.79, 358.60, 26.67)
(0.75, 358.58, 26.55)
(0.70, 358.57, 26.43)
(0.65, 358.56, 26.31)
(0.60, 358.55, 26.18)
(0.55, 358.54, 26.06)
(0.50, 358.53, 25.94)
(0.45, 358.52, 25.82)
(0.40, 358.51, 25.70)
(0.36, 358.51, 25.58)
(0.31, 358.50, 25.46)
(0.26, 358.49, 25.34)
(0.21, 358.48, 25.21)
(0.16, 358.48, 25.09)
(0.12, 358.47, 24.97)
(0.07, 358.47, 24.85)
(0.02, 358.46, 24.73)
(359.97, 358.45, 24.61)
(359.93, 358.45, 24.49)
(359.88, 358.45, 24.37)
(359.84, 358.44, 24.25)
(359.79, 358.44, 24.13)
(359.75, 358.44, 24.01)
(359.70, 358.43, 23.89)
(359.66, 358.43, 23.77)
(359.62, 358.43, 23.65)
(359.58, 358.43, 23.53)
(359.54, 358.43, 23.42)
(359.50, 358.43, 23.30)
(359.46, 358.43, 23.18)
(359.42, 358.43, 23.06)
(359.38, 358.43, 22.95)
(359.34, 358.43, 22.83)
(359.31, 358.43, 22.71)
(359.27, 358.43, 22.60)
(359.24, 358.43, 22.48)
(359.20, 358.43, 22.37)
(359.17, 358.44, 22.26)
(359.14, 358.44, 22.14)
(359.11, 358.44, 22.03)
(359.08, 358.44, 21.92)
(359.05, 358.45, 21.80)
(359.02, 358.45, 21.69)
(359.00, 358.46, 21.58)
(358.97, 358.46, 21.47)
(358.95, 358.46, 21.36)
(358.92, 358.47, 21.25)
(358.90, 358.47, 21.14)
(358.88, 358.48, 21.04)
(358.86, 358.48, 20.93)
(358.84, 358.49, 20.82)
(358.82, 358.49, 20.72)
(358.81, 358.50, 20.61)
(358.79, 358.51, 20.51)
(358.78, 358.51, 20.40)
(358.76, 358.52, 20.30)
(358.75, 358.52, 20.20)
(358.74, 358.53, 20.09)
(358.73, 358.54, 19.99)
(358.72, 358.54, 19.89)
(358.71, 358.55, 19.79)
(358.71, 358.56, 19.69)
(358.70, 358.56, 19.60)
(358.70, 358.57, 19.50)
(358.69, 358.58, 19.40)
(358.69, 358.59, 19.31)
(358.69, 358.59, 19.21)
(358.69, 358.60, 19.12)
(358.69, 358.61, 19.02)
(358.69, 358.61, 18.93)
(358.69, 358.62, 18.84)
(358.70, 358.63, 18.75)
(358.70, 358.64, 18.66)
(358.71, 358.64, 18.57)
(358.71, 358.65, 18.48)
(358.72, 358.66, 18.40)
(358.73, 358.66, 18.31)
(358.74, 358.67, 18.22)
(358.75, 358.68, 18.14)
(358.76, 358.69, 18.06)
(358.77, 358.69, 17.97)
(358.79, 358.70, 17.89)
(358.80, 358.71, 17.81)
(358.81, 358.71, 17.73)
(358.83, 358.72, 17.65)
(358.84, 358.73, 17.58)
(358.86, 358.73, 17.50)
(358.88, 358.74, 17.42)
(358.90, 358.75, 17.35)
(358.92, 358.75, 17.27)
(358.94, 358.76, 17.20)
(358.96, 358.76, 17.13)
(358.98, 358.77, 17.06)
(359.00, 358.78, 16.99)
(359.02, 358.78, 16.92)
(359.04, 358.79, 16.85)
