(0.00, 0.00, 0.00)
(0.00, 0.00, 0.04)
(0.00, 0.00, 0.10)
(0.00, 0.00, 0.16)
(0.00, 0.00, 0.22)
(0.00, 0.00, 0.30)
(0.00, 0.00, 0.38)
(0.00, 0.00, 0.47)
(0.00, 0.00, 0.56)
(0.00, 0.00, 0.66)
(0.00, 0.00, 0.77)
(0.00, 0.00, 0.88)
(0.00, 0.00, 1.00)
(0.00, 0.00, 1.13)
(0.00, 0.00, 1.26)
(0.00, 0.00, 1.40)
(0.00, 0.00, 1.54)
(0.00, 0.00, 1.69)
(0.00, 0.00, 1.84)
(0.00, 0.00, 2.00)
(0.00, 0.00, 2.16)
(0.00, 0.00, 2.33)
(0.00, 0.00, 2.50)
(0.00, 0.00, 2.68)
(0.00, 0.00, 2.86)
(0.00, 0.00, 3.05)
(0.00, 0.00, 3.24)
(0.00, 0.00, 3.43)
(0.00, 0.00, 3.63)
(0.00, 0.00, 3.83)
(0.00, 0.00, 4.04)
(0.00, 0.00, 4.25)
(0.00, 0.00, 4.46)
(0.00, 0.00, 4.68)
(0.00, 0.00, 4.90)
(0.00, 0.00, 5.12)
(0.00, 0.00, 5.35)
(0.00, 0.00, 5.58)
(0.00, 0.00, 5.81)
(0.00, 0.00, 6.04)
(0.00, 0.00, 6.28)
(0.00, 0.00, 6.52)
(0.00, 0.00, 6.76)
(0.00, 0.00, 7.01)
(0.00, 0.00, 7.26)
(0.00, 0.00, 7.50)
(0.00, 0.00, 7.76)
(0.00, 0.00, 8.01)
(0.00, 0.00, 8.26)
(0.00, 0.00, 8.52)
(0.00, 0.00, 8.78)
(0.00, 0.00, 9.04)
(0.00, 0.00, 9.30)
(0.00, 0.00, 9.56)
(0.00, 0.00, 9.82)
(0.00, 0.00, 10.09)
(0.00, 0.00, 10.35)
(0.00, 0.00, 10.62)
(0.00, 0.00, 10.89)
(0.00, 0.00, 11.16)
(0.00, 0.00, 11.43)
(0.00, 0.00, 11.70)
(0.00, 0.00, 11.97)
(0.00, 0.00, 12.24)
(0.00, 0.00, 12.51)
(0.00, 0.00, 12.78)
(0.00, 0.00, 13.05)
(0.00, 0.00, 13.33)
(0.00, 0.00, 13.60)
(0.00, 0.00, 13.87)
(0.00, 0.00, 14.14)
(0.00, 0.00, 14.42)
(0.00, 0.00, 14.69)
(0.00, 0.00, 14.96)
(0.00, 0.00, 15.23)
(0.00, 0.00, 15.50)
(0.00, 0.00, 15.78)
(0.00, 0.00, 16.05)
(0.00, 0.00, 16.32)
(0.00, 0.00, 16.59)
(0.00, 0.00, 16.86)
(0.00, 0.00, 17.12)
(0.00, 0.00, 17.39)
(0.00, 0.00, 17.66)
(0.00, 0.00, 17.92)
(0.00, 0.00, 18.19)
(0.00, 0.00, 18.45)
(0.00, 0.00, 18.72)
(0.00, 0.00, 18.98)
(0.00, 0.00, 19.24)
(0.00, 0.00, 19.50)
(0.00, 0.00, 19.75)
(0.00, 0.00, 20.01)
(0.00, 0.00, 20.27)
(0.00, 0.00, 20.52)
(0.00, 0.00, 20.77)
(0.00, 0.00, 21.02)
(0.00, 0.00, 21.27)
(0.00, 0.00, 21.52)
(0.00, 0.00, 21.77)
(0.00, 0.00, 22.01)
(0.00, 0.00, 22.26)
(0.00, 0.00, 22.50)
(0.00, 0.00, 22.74)
(0.00, 0.00, 22.97)
(0.00, 0.00, 23.21)
(0.00, 0.00, 23.44)
(0.00, 0.00, 23.67)
(0.00, 0.00, 23.90)
(0.00, 0.00, 24.13)
(0.00, 0.00, 24.36)
(0.00, 0.00, 24.58)
(0.00, 0.00, 24.80)
(0.00, 0.00, 25.02)
(0.00, 0.00, 25.24)
(0.00, 0.00, 25.45)
(0.00, 0.00, 25.67)
(0.00, 0.00, 25.88)
(0.00, 0.00, 26.09)
(0.00, 0.00, 26.29)
(0.00, 0.00, 26.50)
(0.00, 0.00, 26.70)
(0.00, 0.00, 26.90)
(0.00, 0.00, 27.09)
(0.00, 0.00, 27.29)
(0.00, 0.00, 27.48)
(0.00, 0.00, 27.67)
(0.00, 0.00, 27.85)
(0.00, 0.00, 28.04)
(0.00, 0.00, 28.22)
(0.00, 0.00, 28.40)
(0.00, 0.00, 28.58)
(0.00, 0.00, 28.75)
(0.00, 0.00, 28.92)
(0.00, 0.00, 29.09)
(0.00, 0.00, 29.26)
(0.00, 0.00, 29.42)
(0.00, 0.00, 29.58)
(0.00, 0.00, 29.74)
(0.00, 0.00, 29.89)
(0.00, 0.00, 30.05)
(0.00, 0.00, 30.20)
(0.00, 0.00, 30.34)
(0.00, 0.00, 30.49)
(0.00, 0.00, 30.63)
(0.00, 0.00, 30.77)
(0.00, 0.00, 30.91)
(0.00, 0.00, 31.04)
(0.00, 0.00, 31.17)
(0.00, 0.00, 31.30)
(0.00, 0.00, 31.43)
(0.00, 0.00, 31.55)
(0.00, 0.00, 31.67)
(0.00, 0.00, 31.79)
(0.00, 0.00, 31.90)
(0.00, 0.00, 32.01)
(0.00, 0.00, 32.12)
(0.00, 0.00, 32.23)
(0.00, 0.00, 32.33)
(0.00, 0.00, 32.43)
(0.00, 0.00, 32.53)
(0.00, 0.00, 32.62)
(0.00, 0.00, 32.72)
(0.00, 0.00, 32.81)
(0.00, 0.00, 32.89)
(0.00, 0.00, 32.98)
(0.00, 0.00, 33.06)
(0.00, 0.00, 33.14)
(0.00, 0.00, 33.21)
(0.00, 0.00, 33.29)
(0.00, 0.00, 33.36)
(0.00, 0.00, 33.43)
(0.00, 0.00, 33.49)
(0.00, 0.00, 33.55)
(0.00, 0.00, 33.61)
(0.00, 0.00, 33.67)
(0.00, 0.00, 33.72)
(0.00, 0.00, 33.78)
(0.00, 0.00, 33.82)
(0.00, 0.00, 33.87)
(0.00, 0.00, 33.91)
(0.00, 0.00, 33.96)
(0.00, 0.00, 33.99)
(0.00, 0.00, 34.03)
(0.00, 0.00, 34.06)
(0.00, 0.00, 34.09)
(0.00, 0.00, 34.12)
(0.00, 0.00, 34.15)
(0.00, 0.00, 34.17)
(0.00, 0.00, 34.19)
(0.00, 0.00, 34.21)
(0.00, 0.00, 34.22)
(0.00, 0.00, 34.24)
(0.00, 0.00, 34.25)
(0.00, 0.00, 34.26)
(0.00, 0.00, 34.26)
(0.00, 0.00, 34.27)
(0.00, 0.00, 34.27)
(0.00, 0.00, 34.27)
(0.00, 0.00, 34.26)
(0.00, 0.00, 34.26)
(0.00, 0.00, 34.25)
(0.00, 0.00, 34.24)
(0.00, 0.00, 34.22)
(0.00, 0.00, 34.21)
(0.00, 0.00, 34.19)
(0.00, 0.00, 34.17)
(0.00, 0.00, 34.15)
(0.00, 0.00, 34.12)
